# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    9.498997996    3.646649079    3.646650826    3.646650354
    9.559118236    3.620065044    3.620066780    3.620066319
    9.619238477    3.593863659    3.593865384    3.593864933
    9.679358717    3.568037917    3.568039631    3.568039190
    9.739478958    3.542580963    3.542582665    3.542582234
    9.799599198    3.517486089    3.517487781    3.517487359
    9.859719439    3.492746733    3.492748415    3.492748003
    9.919839679    3.468356475    3.468358146    3.468357743
    9.979959920    3.444309031    3.444310692    3.444310298
   10.040080160    3.420598252    3.420599902    3.420599516
   10.100200401    3.397218119    3.397219759    3.397219382
   10.160320641    3.374162742    3.374164372    3.374164004
   10.220440882    3.351426357    3.351427977    3.351427617
   10.280561122    3.329003320    3.329004930    3.329004578
   10.340681363    3.306888107    3.306889708    3.306889364
   10.400801603    3.285075311    3.285076902    3.285076565
   10.460921844    3.263559636    3.263561217    3.263560888
   10.521042084    3.242335898    3.242337470    3.242337149
   10.581162325    3.221399023    3.221400586    3.221400272
   10.641282565    3.200744039    3.200745593    3.200745286
   10.701402806    3.180366080    3.180367625    3.180367325
   10.761523046    3.160260379    3.160261915    3.160261622
   10.821643287    3.140422268    3.140423795    3.140423508
   10.881763527    3.120847174    3.120848692    3.120848412
   10.941883768    3.101530619    3.101532128    3.101531854
   11.002004008    3.082468215    3.082469715    3.082469448
   11.062124248    3.063655664    3.063657156    3.063656895
   11.122244489    3.045088757    3.045090241    3.045089986
   11.182364729    3.026763368    3.026764843    3.026764594
   11.242484970    3.008675454    3.008676921    3.008676678
   11.302605210    2.990821055    2.990822514    2.990822276
   11.362725451    2.973196291    2.973197741    2.973197509
   11.422845691    2.955797356    2.955798799    2.955798572
   11.482965932    2.938620524    2.938621959    2.938621738
   11.543086172    2.921662142    2.921663569    2.921663352
   11.603206413    2.904918627    2.904920046    2.904919835
   11.663326653    2.888386470    2.888387881    2.888387675
   11.723446894    2.872062229    2.872063633    2.872063432
   11.783567134    2.855942531    2.855943928    2.855943731
   11.843687375    2.840024069    2.840025458    2.840025266
   11.903807615    2.824303599    2.824304981    2.824304793
   11.963927856    2.808777942    2.808779316    2.808779133
   12.024048096    2.793443979    2.793445346    2.793445168
   12.084168337    2.778298653    2.778300013    2.778299839
   12.144288577    2.763338966    2.763340318    2.763340149
   12.204408818    2.748561975    2.748563320    2.748563155
   12.264529058    2.733964796    2.733966135    2.733965973
   12.324649299    2.719544600    2.719545932    2.719545774
   12.384769539    2.705298611    2.705299936    2.705299782
   12.444889780    2.691224106    2.691225424    2.691225274
   12.505010020    2.677318414    2.677319725    2.677319579
   12.565130261    2.663578913    2.663580217    2.663580075
   12.625250501    2.650003032    2.650004330    2.650004191
   12.685370741    2.636588247    2.636589539    2.636589403
   12.745490982    2.623332083    2.623333368    2.623333236
   12.805611222    2.610232110    2.610233388    2.610233260
   12.865731463    2.597285942    2.597287214    2.597287089
   12.925851703    2.584491239    2.584492504    2.584492383
   12.985971944    2.571845703    2.571846963    2.571846844
   13.046092184    2.559347081    2.559348334    2.559348218
   13.106212425    2.546993157    2.546994404    2.546994291
   13.166332665    2.534781759    2.534782999    2.534782890
   13.226452906    2.522710753    2.522711988    2.522711881
   13.286573146    2.510778045    2.510779274    2.510779170
   13.346693387    2.498981579    2.498982801    2.498982701
   13.406813627    2.487319334    2.487320551    2.487320453
   13.466933868    2.475789328    2.475790539    2.475790444
   13.527054108    2.464389614    2.464390819    2.464390726
   13.587174349    2.453118278    2.453119478    2.453119388
   13.647294589    2.441973444    2.441974637    2.441974550
   13.707414830    2.430953266    2.430954453    2.430954368
   13.767535070    2.420055931    2.420057113    2.420057031
   13.827655311    2.409279661    2.409280837    2.409280757
   13.887775551    2.398622706    2.398623877    2.398623800
   13.947895792    2.388083350    2.388084515    2.388084440
   14.008016032    2.377659903    2.377661063    2.377660990
   14.068136273    2.367350709    2.367351863    2.367351793
   14.128256513    2.357154138    2.357155287    2.357155218
   14.188376754    2.347068589    2.347069733    2.347069666
   14.248496994    2.337092490    2.337093628    2.337093564
   14.308617234    2.327224294    2.327225427    2.327225364
   14.368737475    2.317462482    2.317463610    2.317463549
   14.428857715    2.307805561    2.307806684    2.307806626
   14.488977956    2.298252064    2.298253182    2.298253125
   14.549098196    2.288800549    2.288801661    2.288801606
   14.609218437    2.279449596    2.279450703    2.279450651
   14.669338677    2.270197813    2.270198915    2.270198865
   14.729458918    2.261043830    2.261044927    2.261044878
   14.789579158    2.251986298    2.251987391    2.251987343
   14.849699399    2.243023895    2.243024982    2.243024937
   14.909819639    2.234155317    2.234156400    2.234156356
   14.969939880    2.225379285    2.225380363    2.225380320
   15.030060120    2.216694539    2.216695612    2.216695571
   15.090180361    2.208099842    2.208100910    2.208100871
   15.150300601    2.199593975    2.199595038    2.199595001
   15.210420842    2.191175742    2.191176800    2.191176764
   15.270541082    2.182843964    2.182845018    2.182844983
